43
CoPt£¬-206.6869064121008
Co	-4.014248	-2.309803	-1.585810
Pt	-1.852006	-5.830524	-0.601458
Co	-1.131728	-2.301814	1.230237
Co	-0.901778	1.091589	3.268514
Pt	-2.449751	-0.649750	-0.337560
Co	0.434064	-6.666705	-0.783105
Pt	-3.372678	-0.283338	-2.846281
Co	-0.223612	1.371045	-0.777409
Pt	-1.476349	-2.235753	-2.463550
Pt	0.437775	-1.486531	-4.204533
Co	-0.357706	-0.038527	1.268427
Co	-1.914113	-1.002442	-4.743824
Pt	1.550802	0.404258	2.884625
Co	-2.484641	1.560059	-1.447747
Pt	1.943685	0.664952	0.301168
Pt	2.057161	-5.636436	0.849663
Co	-2.324013	-3.421720	-0.451649
Pt	3.650452	-0.940294	1.846640
Pt	1.402834	-2.636989	-2.074438
Co	-1.936156	-4.545259	1.614388
Pt	1.959868	-5.203875	-1.964867
Pt	1.420956	-1.934439	1.112355
Co	2.932856	-3.616503	-0.297148
Co	-0.277883	-6.134830	1.428718
Co	-2.036332	1.557137	0.946390
Co	-0.908714	0.221815	-2.793581
Co	-2.513395	-0.510302	2.294118
Pt	1.134378	-4.038444	-4.243047
Co	-2.846407	-4.443472	-2.543915
Pt	2.129712	-2.003911	3.755587
Pt	3.185796	-3.650134	2.145465
Co	-0.478201	-4.675058	-2.481163
Pt	0.179758	-4.081566	-0.124663
Pt	-3.603149	-2.644398	-4.032814
Pt	-2.492254	-2.835569	3.280576
Pt	0.459395	-3.921673	2.564965
Pt	-0.358769	-1.382314	3.463204
Pt	0.282800	2.356657	1.506137
Co	-3.634733	-2.329345	1.157036
Co	-1.250350	-3.437572	-4.610968
Co	0.008554	-1.072334	-0.788274
Pt	3.289623	-1.231845	-0.780206
Pt	1.572317	0.085621	-2.314439
